filepath,url
data/web/text_presence/img_0133519.jpg,https://thumb1.shutterstock.com/display_pic_with_logo/1789100/210569050/stock-photo-rainbow-one-cloud-in-the-sky-and-paint-roller-with-drops-dash-line-210569050.jpg
data/web/text_presence/img_3255186.jpg,https://media.gettyimages.com/photos/vintage-1980s-apple-macintosh-personal-computer-with-keyboard-and-picture-id533665736?s=612x612
data/web/text_presence/img_2203443.jpg,http://l7.alamy.com/zooms/4360fd306fca4703b4fd94e0118996d7/sunset-view-through-pine-trees-in-the-berkshire-mountains-of-western-g1bt31.jpg
data/web/text_presence/img_0250363.jpg,https://i.pinimg.com/736x/b6/14/57/b61457e68b5c080e53175b681b98d41c--the-snow-this-morning.jpg
data/web/text_presence/img_1823544.jpg,https://thefoodallergychronicles.files.wordpress.com/2012/05/img_2529.jpg?w=584&h=438
data/web/text_presence/img_1215131.jpg,https://media.gettyimages.com/photos/actress-abbie-cornish-arrives-at-the-los-angeles-premiere-of-robocop-picture-id468515247?s=612x612
data/web/text_presence/img_0511511.jpg,https://s-media-cache-ak0.pinimg.com/736x/bb/c1/c4/bbc1c4f3b5353fba1620102e280de723.jpg
data/web/text_presence/img_1918326.jpg,https://media.gettyimages.com/photos/jake-gyllenhaal-walks-a-red-carpet-for-stronger-during-the-12th-rome-picture-id867501214
data/web/text_presence/img_2214250.jpg,https://www.wikihow.com/images/thumb/c/c2/Choose-a-Place-for-Your-Dog-to-Eat-Step-12.jpg/aid8293135-v4-728px-Choose-a-Place-for-Your-Dog-to-Eat-Step-12.jpg
data/web/text_presence/img_0896000.jpg,https://cdn.newsday.com/polopoly_fs/1.2535674.1292131619!/httpImage/image.JPG_gen/derivatives/landscape_768/image.JPG
data/web/text_presence/img_3034555.jpg,http://l7.alamy.com/zooms/7640fb4ecb4948059ec9a3016f58d7b0/the-artists-garden-in-argenteuil-by-claude-monet-1873-french-impressionist-gmgd7h.jpg
data/web/text_presence/img_1823173.jpg,https://media.gettyimages.com/photos/john-rzeznik-lead-singer-and-guitarist-with-the-goo-goo-dolls-at-the-picture-id614907620
data/web/text_presence/img_0023465.jpg,https://cdn-s3.si.com/s3fs-public/images/2009-Tim-Tebow-opoc-13332cov.jpg
data/web/text_presence/img_3280414.jpg,https://media.gettyimages.com/photos/daniel-jensen-poses-during-the-team-presentation-at-the-weser-stadium-picture-id103404984
data/web/text_presence/img_3257316.jpg,http://simplepracticalbeautiful.com/wp-content/uploads/2016/05/industrial-pendant-light.jpg
data/web/text_presence/img_0555200.jpg,http://basketball.dailyherald.com/storyimage/DA/20171205/sports/171209383/EP/1/46/EP-171209383.jpg&updated=201712052219&MaxW=800&maxH=800&noborder
data/web/text_presence/img_3289871.jpg,http://cdn-webimages.wimages.net/0519a2db3ac14a10506d2e13506622d3c9c4f-wm.jpg?v=3
data/web/text_presence/img_2934841.jpg,http://l7.alamy.com/zooms/527b14caec484516a2b69d0ee0e7a15d/village-on-outskirts-of-the-city-of-mutare-in-manicaland-province-bdtmp2.jpg
data/web/text_presence/img_1847316.jpg,https://media.gettyimages.com/photos/model-walks-the-runway-during-chanel-cruise-20172018-collection-at-picture-id677916624?s=612x612
data/web/text_presence/img_1534010.jpg,https://media.gettyimages.com/photos/south-africas-shaun-pollock-celebrates-taking-the-wicket-of-englands-picture-id829474070?s=612x612
data/web/text_presence/img_0333259.jpg,http://l7.alamy.com/zooms/09f05cf123a2461396426bb497753bc5/big-ben-and-westminster-bridge-from-the-south-bank-london-england-ct7rxh.jpg
data/web/text_presence/img_1687780.jpg,https://fairtradefrankincense.files.wordpress.com/2014/03/img_9192.jpg
data/web/text_presence/img_3189462.jpg,http://l7.alamy.com/zooms/a257cf529fcb475d91e80ddf23e645ef/portugal-castelo-branco-modern-contemporary-architecture-realized-hhb87y.jpg
data/web/text_presence/img_1363009.jpg,http://l7.alamy.com/zooms/8b9c548cb8e44cd88770274629a24228/slot-machines-in-the-casino-onboard-a-cruise-ship-f69rww.jpg
data/web/text_presence/img_3038530.jpg,https://media.gettyimages.com/photos/popcorn-spilling-out-of-a-bowl-picture-id130860285?s=612x612
data/web/text_presence/img_2810277.jpg,https://static1.squarespace.com/static/5890adb18419c2803ec43895/58ac62b3b3db2b968522b087/58b08d689f7456ff0c9d6352/1487966000118/IMG_1935.JPG?format=500w
data/web/text_presence/img_2905950.jpg,https://i.pinimg.com/736x/fd/5e/14/fd5e141bd689f02495354e2383737ecc--olive-green-jackets-military-style.jpg
data/web/text_presence/img_0502430.jpg,https://media.gettyimages.com/photos/musician-raiatea-helm-performs-at-mele-mei-in-la-at-the-grammy-museum-picture-id509504822?s=612x612
data/web/text_presence/img_0831705.jpg,https://thumb7.shutterstock.com/display_pic_with_logo/178241698/754759831/stock-vector-italian-greyhound-in-a-hat-with-a-veil-754759831.jpg
